eval_date,eval_year,province,n_children,dose1,dose2,dose3,dose1_on_schedule,dose2_on_schedule,dose3_on_schedule,dose_1_cov,dose_2_cov,dose_3_cov,dose_1_on_schedule_cov,dose_2_on_schedule_cov,dose_3_on_schedule_cov
2019-12-31,2019,An Giang,213057,177557,156411,114952,75164,44319,5549,0.833377922340031,0.7341274870105183,0.5395363682019366,0.35278822099250434,0.20801475661442712,0.02604467349113148
2020-12-31,2020,An Giang,226746,195000,175005,129906,83300,48312,6521,0.8599931200550396,0.7718107485909343,0.5729141859172819,0.36737142000299894,0.21306660315948242,0.02875905197886622
2021-12-31,2021,An Giang,222549,188949,169661,133795,84029,50656,7604,0.8490220131296928,0.7623534592381902,0.60119344503907,0.377575275557293,0.22761728877685364,0.03416775631433976
2022-12-31,2022,An Giang,202021,176051,161592,132559,83133,51925,8590,0.8714490077764193,0.7998772404849,0.6561644581503903,0.411506724548438,0.25702773474044777,0.04252033204468842
2023-12-31,2023,An Giang,163726,141865,130422,108555,68333,43234,7539,0.8664781403075871,0.7965869806872458,0.6630284744023551,0.4173619339628404,0.2640631298633082,0.04604644344820004
2019-12-31,2019,Bà Rịa - Vũng Tàu,144776,118458,89943,51577,40031,21986,2608,0.8182157263634856,0.6212562855721943,0.3562537989722053,0.2765030115488755,0.15186218710283472,0.018014035475493177
2020-12-31,2020,Bà Rịa - Vũng Tàu,141938,119216,93459,50555,38650,19662,3013,0.8399160196705604,0.6584494638504136,0.35617664050500925,0.27230199101015934,0.13852527159745803,0.021227578238385773
2021-12-31,2021,Bà Rịa - Vũng Tàu,135471,112364,88201,48615,36454,18632,3405,0.8294321293856249,0.6510692325294712,0.35885909161370333,0.26909080172140165,0.13753497058411024,0.025134530637553425
2022-12-31,2022,Bà Rịa - Vũng Tàu,119398,102626,80682,45654,34660,18201,3633,0.8595286353205246,0.6757399621434195,0.3823682138729292,0.290289619591618,0.15243973935911825,0.03042764535419354
2023-12-31,2023,Bà Rịa - Vũng Tàu,95795,82106,64550,36725,29093,15553,3328,0.8571011013100892,0.673834751291821,0.3833707396001879,0.30370061067905424,0.16235711675974737,0.03474085286288429
2019-12-31,2019,Bình Dương,241471,163748,132956,91766,73473,45066,8107,0.6781269800514348,0.5506085616906378,0.38002907181400664,0.3042725627508065,0.1866311068409871,0.03357338976523061
2020-12-31,2020,Bình Dương,258221,194983,158873,108591,87248,53834,10520,0.7551012504792407,0.6152597968406908,0.4205351230147819,0.3378811173374745,0.20848033273823585,0.040740296102950574
2021-12-31,2021,Bình Dương,251514,196384,160619,111292,89521,55663,12153,0.7808074302026925,0.638608586400757,0.44248829091024755,0.35592849702203455,0.2213117361260208,0.048319377847754
2022-12-31,2022,Bình Dương,218181,177673,144361,96957,80499,50360,12144,0.8143376370994725,0.6616570645473254,0.4443879164546867,0.3689551335817509,0.23081753223241253,0.05566020872578272
2023-12-31,2023,Bình Dương,167531,135818,108598,69663,59360,36624,10046,0.8107036906602361,0.6482262984164124,0.4158215494445804,0.35432248360005014,0.2186102870513517,0.05996502139902466
2019-12-31,2019,Bình Phước,129335,91082,78817,62214,41820,25283,3391,0.7042331928712259,0.6094019406966406,0.4810298836355202,0.323346348629528,0.1954845942706924,0.02621873429466115
2020-12-31,2020,Bình Phước,147397,111593,97156,77338,51470,31590,4654,0.7570913926335,0.6591450300888078,0.5246918186937319,0.34919299578688845,0.21431915167879945,0.031574591070374566
2021-12-31,2021,Bình Phước,146705,110415,95290,76374,50694,31386,5373,0.7526328346000477,0.6495347806823216,0.5205957533826386,0.3455505947309226,0.21393953852970246,0.03662451859173171
2022-12-31,2022,Bình Phước,133451,100895,86896,69520,47409,30129,5744,0.7560452900315472,0.6511453642160793,0.5209402702115383,0.3552539883552765,0.22576825951098156,0.04304201542139062
