eval_date,eval_year,province_reg,n_children,dose1,dose2,dose3,dose1_on_schedule,dose2_on_schedule,dose3_on_schedule,dose_1_cov,dose_2_cov,dose_3_cov,dose_1_on_schedule_cov,dose_2_on_schedule_cov,dose_3_on_schedule_cov
2019-12-31,2019,An Giang,201293,169949,151223,112049,72780,43086,5373,0.8442866865713164,0.751258116278261,0.556646281788239,0.3615624984475367,0.214046191372775,0.026692433417952934
2020-12-31,2020,An Giang,211104,183684,166779,125241,79565,46317,6198,0.8701114142792178,0.7900324010914052,0.5932668258299227,0.37689953766863726,0.2194037062301046,0.02935993633469759
2021-12-31,2021,An Giang,204108,175488,159702,127954,79453,48115,7150,0.85978011640896,0.7824387089188077,0.6268936053461893,0.3892694063926941,0.23573304329080683,0.035030474062751095
2022-12-31,2022,An Giang,183012,161546,150701,125986,78070,48993,8021,0.8827071448866741,0.823448735602037,0.6884029462548904,0.42658404913339015,0.26770375713067995,0.04382772714357529
2023-12-31,2023,An Giang,147552,129511,121140,102996,64045,40743,7020,0.8777312405118196,0.8209986987638256,0.6980318802862719,0.4340503686835827,0.27612638256343525,0.04757644762524398
2019-12-31,2019,Bà Rịa - Vũng Tàu,150836,123739,93637,52958,41165,22383,2655,0.8203545572674958,0.6207868148187435,0.3510965551990241,0.27291230210294626,0.1483929565886128,0.017601898750961308
2020-12-31,2020,Bà Rịa - Vũng Tàu,149720,126169,98720,52819,40335,20262,3070,0.8426997061180871,0.6593641464066257,0.35278519903820466,0.26940288538605395,0.13533262089233236,0.020504942559444295
2021-12-31,2021,Bà Rịa - Vũng Tàu,144363,120114,94113,51189,38270,19256,3434,0.8320275970989797,0.6519191205502795,0.35458531618212424,0.2650956269958369,0.13338597840166802,0.023787258508066473
2022-12-31,2022,Bà Rịa - Vũng Tàu,128245,110716,86850,48376,36534,18795,3618,0.8633163086280167,0.6772193847713361,0.377215485983859,0.28487660337634996,0.1465554212639869,0.028211626184256697
2023-12-31,2023,Bà Rịa - Vũng Tàu,103000,88698,69530,38872,30622,16016,3295,0.8611456310679612,0.6750485436893204,0.37739805825242717,0.29730097087378643,0.15549514563106795,0.03199029126213592
2019-12-31,2019,Bình Dương,307108,214546,174667,119202,94811,57571,10004,0.6986011435716426,0.5687478020761426,0.38814358466728316,0.3087220131028824,0.1874617398439637,0.032574859658491474
2020-12-31,2020,Bình Dương,344502,264362,215582,144552,115419,69931,13068,0.7673743548658644,0.6257786602109712,0.4195969834717941,0.3350314366825156,0.20299156463532866,0.037933016354041484
2021-12-31,2021,Bình Dương,350914,276527,227140,154358,122302,74554,15379,0.7880192867768171,0.6472811002125877,0.4398741572009096,0.3485241398177331,0.2124566133012647,0.04382555269952182
2022-12-31,2022,Bình Dương,317117,259422,212147,140110,113215,69029,15453,0.8180639953077256,0.6689865254779782,0.4418243109010239,0.3570133420787911,0.2176767565283476,0.048729648678563435
2023-12-31,2023,Bình Dương,251102,203999,164040,103410,85002,50920,12839,0.8124148752299862,0.6532803402601334,0.41182467682455737,0.33851582225549776,0.20278611878838082,0.05113061624359822
2019-12-31,2019,Bình Phước,128240,90298,78515,62276,41711,25255,3390,0.7041328758577667,0.6122504678727386,0.4856207111665627,0.3252573300062383,0.1969354335620711,0.026434809731752964
2020-12-31,2020,Bình Phước,146146,110443,96582,77303,51287,31512,4611,0.7557032009086804,0.6608596882569485,0.5289436590806453,0.35092989202578245,0.21561999644191426,0.031550641139682235
2021-12-31,2021,Bình Phước,145388,109113,94595,76338,50489,31234,5275,0.750495226566154,0.6506382920185985,0.5250639667647949,0.3472707513687512,0.21483203565631276,0.03628222411753377
2022-12-31,2022,Bình Phước,132209,99526,86105,69371,47127,29915,5620,0.7527929263514587,0.6512794136556512,0.5247070925579953,0.35645833490912116,0.2262705262122851,0.04250845252592486
2023-12-31,2023,Bình Phước,106685,78856,67609,53951,37323,23854,4854,0.7391479589445564,0.6337254534376904,0.5057037071753292,0.349842995735108,0.22359281998406524,0.04549842995735108
2019-12-31,2019,Bình Thuận,159436,116765,106319,87941,56252,34068,3775,0.7323628289721268,0.6668443764269049,0.551575553827241,0.35281868586768356,0.2136782157103791,0.023677212172909506
2020-12-31,2020,Bình Thuận,182640,141105,129329,108893,67280,40847,4747,0.7725854139290408,0.7081088480070084,0.5962166009636444,0.3683749452474814,0.22364761279018835,0.025991020586946998
2021-12-31,2021,Bình Thuận,180972,135284,120143,100504,61877,37086,4636,0.7475410560749729,0.6638761797405124,0.5553566297548792,0.3419147713458436,0.20492672899675088,0.025617222553765223
2022-12-31,2022,Bình Thuận,164516,123901,108014,85544,53553,31771,4414,0.7531243161759342,0.65655620122055,0.5199737411558755,0.32551849060273774,0.1931179946023487,0.026830217121738918
2023-12-31,2023,Bình Thuận,133282,98922,84558,64933,40403,23649,3554,0.7422007472877058,0.6344292552632763,0.48718506625050645,0.3031392085953092,0.17743581278792336,0.02666526612745907
2019-12-31,2019,Bạc Liêu,99525,74044,67922,60956,38218,24105,3321,0.7439738759105752,0.6824616930419493,0.6124692288369756,0.3840040190906807,0.24220045214770158,0.033368500376789755
2020-12-31,2020,Bạc Liêu,106559,80938,74575,67275,42026,26558,3638,0.7595604313103539,0.6998470330990343,0.6313403842003021,0.39439183926275584,0.2492328193770587,0.0341407107799435
2021-12-31,2021,Bạc Liêu,106304,79201,71670,64027,39379,24611,3516,0.7450425195665262,0.6741985249849488,0.6023009482239615,0.37043761288380495,0.23151527694160146,0.03307495484647802
2022-12-31,2022,Bạc Liêu,94977,71296,64591,57359,34650,21562,3193,0.7506659507038547,0.6800699116628236,0.6039251608284111,0.3648251681986165,0.2270233846089053,0.03361866557166472
2023-12-31,2023,Bạc Liêu,75082,55985,50272,44090,26202,16144,2495,0.7456514211129165,0.6695612796675635,0.58722463439972294,0.348978450227751,0.21501824671692282,0.03323033483391492
2019-12-31,2019,Bắc Giang,241040,184523,175347,167425,139520,104620,9515,0.7655285429804182,0.727460172585463,0.6945942582144042,0.5788250912711583,0.4340358446730833,0.03947477597079323
2020-12-31,2020,Bắc Giang,264868,221767,211291,202514,168570,126280,12395,0.8372736608423819,0.7977218841083106,0.764584623284051,0.6364302218463537,0.4767657852213178,0.046796895057160545
2021-12-31,2021,Bắc Giang,259132,214719,204167,195552,159240,117478,13930,0.8286085855857247,0.7878880261797077,0.7546424216229567,0.6145130666995972,0.45335195961903585,0.05375638670638902
2022-12-31,2022,Bắc Giang,236759,196312,187006,179140,143681,105386,14513,0.8291638332650502,0.7898580412993804,0.7566343834870057,0.6068660536663865,0.44511929852719434,0.061298620115813975
2023-12-31,2023,Bắc Giang,190665,155086,146906,139750,110179,79366,12154,0.8133952219862062,0.7704927490624918,0.7329609524558781,0.5778669393963234,0.41625888338184774,0.063745312459025
2019-12-31,2019,Bắc Kạn,31643,27806,26768,25929,19424,14220,1183,0.8787409537654458,0.845937490124198,0.8194229371424959,0.6138482444774516,0.44938849034541606,0.03738583572986127
2020-12-31,2020,Bắc Kạn,36230,32927,31864,30952,23404,17078,1449,0.9088324592878829,0.8794921335909467,0.8543196246204803,0.6459839911675407,0.47137731162020424,0.03999447971294507
2021-12-31,2021,Bắc Kạn,34707,31647,30729,29913,23053,17217,1529,0.9118333477396491,0.8853833520615437,0.8618722447921169,0.6642175929927681,0.4960670758060334,0.04405451349871784
2022-12-31,2022,Bắc Kạn,31096,28698,27894,27190,20856,15511,1483,0.9228839722150759,0.8970285567275533,0.874388988937484,0.6706971957808078,0.4988101363519424,0.04769102135322871
2023-12-31,2023,Bắc Kạn,24675,22610,21913,21287,16051,11754,1169,0.9163120567375886,0.88806484295846,0.8626950354609929,0.6504964539007092,0.47635258358662613,0.0473758865248227
2019-12-31,2019,Bắc Ninh,104797,91121,86450,82139,64749,47600,5337,0.8695000811091921,0.8249281945093848,0.7837915207496398,0.6178516560588566,0.4542114755193374,0.05092703035392235
2020-12-31,2020,Bắc Ninh,125080,114742,110055,105906,84700,63706,8943,0.9173488967061081,0.8798768787975696,0.8467061080908219,0.6771666133674449,0.5093220338983051,0.07149824112567957
2021-12-31,2021,Bắc Ninh,140002,130971,127093,123233,98863,75326,12938,0.9354937786603048,0.9077941743689376,0.8802231396694333,0.7061541977971744,0.5380351709261296,0.09241296552906388
2022-12-31,2022,Bắc Ninh,135721,129325,126578,123258,98760,76175,15115,0.952873910448641,0.9326338591669675,0.908171911494905,0.7276692626785832,0.5612617059998084,0.11136817441663413
